symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BTCUSDT,ret_15m,1h,1.61,0.41,0.18,-0.26,-0.12
BTCUSDT,ret_15m,4h,2.86,0.98,0.87,0.62,1.96
BTCUSDT,ret_15m,8h,4.57,2.24,2.07,1.71,3.92
BTCUSDT,ret_15m,12h,5.5,2.83,3.96,2.73,6.66
BTCUSDT,ret_15m,24h,12.1,5.68,7.23,4.94,13.15
BTCUSDT,ret_1h,1h,1.08,0.11,0.22,0.13,0.28
BTCUSDT,ret_1h,4h,2.28,0.87,1.23,1.28,1.61
BTCUSDT,ret_1h,8h,3.55,1.76,2.39,3.33,3.47
BTCUSDT,ret_1h,12h,2.31,2.84,4.45,4.62,7.44
BTCUSDT,ret_1h,24h,10.69,4.47,6.87,7.45,13.61
BTCUSDT,ret_4h,1h,1.25,-0.24,-0.01,0.62,0.18
BTCUSDT,ret_4h,4h,4.06,1.32,0.79,0.61,0.46
BTCUSDT,ret_4h,8h,3.97,1.12,0.66,3.11,5.57
BTCUSDT,ret_4h,12h,2.04,1.97,2.4,4.41,10.77
BTCUSDT,ret_4h,24h,14.59,3.0,3.45,7.77,14.22
BTCUSDT,doi_15m,1h,0.91,-0.18,-0.14,0.1,1.1
BTCUSDT,doi_15m,4h,2.99,-0.22,0.69,0.85,2.79
BTCUSDT,doi_15m,8h,5.35,1.08,0.51,2.39,4.75
BTCUSDT,doi_15m,12h,6.54,2.25,1.03,4.11,7.12
BTCUSDT,doi_15m,24h,15.01,2.73,1.49,7.63,15.17
BTCUSDT,doi_1h,1h,1.08,-0.01,-0.23,-0.29,1.26
BTCUSDT,doi_1h,4h,2.58,0.47,0.41,0.27,3.36
BTCUSDT,doi_1h,8h,5.15,1.35,0.25,2.0,5.28
BTCUSDT,doi_1h,12h,5.8,2.49,0.96,4.04,7.72
BTCUSDT,doi_1h,24h,14.04,3.63,1.79,7.07,15.48
BTCUSDT,doi_4h,1h,0.78,-0.23,-0.37,0.21,1.4
BTCUSDT,doi_4h,4h,3.06,-1.35,-0.05,2.07,3.33
BTCUSDT,doi_4h,8h,4.84,-0.43,-0.31,2.94,6.94
BTCUSDT,doi_4h,12h,7.93,0.72,0.91,2.92,8.49
BTCUSDT,doi_4h,24h,17.07,2.75,1.64,3.16,17.29
BTCUSDT,quad_15m,1h,0.82,0.02,-0.11,-0.19,1.24
BTCUSDT,quad_15m,4h,2.81,0.54,0.54,0.18,3.03
BTCUSDT,quad_15m,8h,4.53,2.31,0.26,1.36,5.62
BTCUSDT,quad_15m,12h,6.19,3.85,0.81,2.58,7.62
BTCUSDT,quad_15m,24h,14.03,6.3,0.82,4.58,16.3
BTCUSDT,quad_1h,1h,0.22,-0.08,-0.26,-0.0,1.92
BTCUSDT,quad_1h,4h,1.08,-0.4,0.45,1.32,4.64
BTCUSDT,quad_1h,8h,1.81,1.14,0.32,2.38,8.39
BTCUSDT,quad_1h,12h,2.07,3.23,1.0,3.48,11.24
BTCUSDT,quad_1h,24h,8.83,4.75,1.83,5.99,20.59
BTCUSDT,quad_4h,1h,-0.41,-0.3,-0.39,0.4,2.48
BTCUSDT,quad_4h,4h,-0.82,-0.21,-0.07,1.34,6.81
BTCUSDT,quad_4h,8h,-0.42,0.53,-0.4,2.61,11.66
BTCUSDT,quad_4h,12h,-2.28,0.35,1.29,3.92,17.69
BTCUSDT,quad_4h,24h,0.26,0.34,2.23,7.08,31.99
BTCUSDT,taker,1h,0.89,0.73,0.41,0.22,0.04
BTCUSDT,taker,4h,1.97,1.76,1.59,1.97,1.8
BTCUSDT,taker,8h,3.18,4.1,3.49,3.93,3.46
BTCUSDT,taker,12h,4.88,5.86,5.1,5.23,6.13
BTCUSDT,taker,24h,8.9,11.17,11.45,12.02,12.71
BTCUSDT,taker_z,1h,1.0,0.8,0.4,0.18,-0.01
BTCUSDT,taker_z,4h,2.62,1.78,1.59,1.8,1.77
BTCUSDT,taker_z,8h,4.4,4.44,3.25,3.91,3.1
BTCUSDT,taker_z,12h,6.69,6.19,4.74,5.06,6.07
BTCUSDT,taker_z,24h,10.82,12.47,10.65,11.95,12.21
BTCUSDT,cvd,1h,1.16,0.75,0.31,-0.02,-0.39
BTCUSDT,cvd,4h,1.96,1.71,1.05,1.32,1.24
BTCUSDT,cvd,8h,2.86,3.69,2.55,2.87,2.52
BTCUSDT,cvd,12h,4.09,4.92,3.77,4.06,4.81
BTCUSDT,cvd,24h,6.67,8.77,8.37,9.58,9.67
BTCUSDT,cvd_z,1h,1.26,0.78,0.28,-0.01,-0.51
BTCUSDT,cvd_z,4h,2.47,1.53,1.08,0.97,1.14
BTCUSDT,cvd_z,8h,3.74,3.59,2.55,2.45,2.01
BTCUSDT,cvd_z,12h,5.4,4.82,3.52,3.28,4.47
BTCUSDT,cvd_z,24h,7.98,9.53,7.95,8.86,8.76
BTCUSDT,cvd_1h,1h,0.99,0.19,0.25,0.01,0.37
BTCUSDT,cvd_1h,4h,1.74,0.36,1.49,1.06,2.62
BTCUSDT,cvd_1h,8h,3.19,0.66,3.32,3.47,3.85
BTCUSDT,cvd_1h,12h,3.22,0.86,4.47,6.62,6.49
BTCUSDT,cvd_1h,24h,4.88,5.19,8.49,10.47,14.04
BTCUSDT,cvd_4h,1h,0.52,0.27,0.1,-0.11,1.04
BTCUSDT,cvd_4h,4h,0.64,0.49,1.41,0.7,3.99
BTCUSDT,cvd_4h,8h,1.69,-0.03,2.07,3.19,7.51
