symbol,feature,horizon,ic,null_med,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
BTCUSDT,ret_15m,1h,-0.03691,0.00025,0.00325,True,-1.73,0.75,False,False,7,1.0,630355
BTCUSDT,ret_15m,4h,-0.0189,-0.00027,0.0016,True,-0.9,0.75,False,False,7,1.0,630319
BTCUSDT,ret_15m,8h,-0.01277,0.0001,0.00274,True,-0.65,0.75,False,False,7,1.0,630271
BTCUSDT,ret_15m,12h,-0.00686,-0.00079,0.00262,True,1.16,0.5,False,False,7,1.0,630223
BTCUSDT,ret_15m,24h,-0.00501,0.00043,0.00179,True,1.06,0.5,False,False,7,0.86,630079
BTCUSDT,ret_1h,1h,-0.04383,-9e-05,0.00531,True,-0.81,0.5,False,False,7,1.0,630346
BTCUSDT,ret_1h,4h,-0.02788,-0.00036,0.00262,True,-0.66,0.75,False,False,7,1.0,630310
BTCUSDT,ret_1h,8h,-0.01683,0.00181,0.00393,True,-0.08,0.75,False,False,7,0.86,630262
BTCUSDT,ret_1h,12h,-0.0077,-0.00027,0.00688,True,5.13,1.0,False,False,7,0.86,630214
BTCUSDT,ret_1h,24h,-0.00723,-0.00093,0.00493,True,2.93,0.75,False,False,7,0.86,630070
BTCUSDT,ret_4h,1h,-0.04712,-7e-05,0.00602,True,-1.07,0.5,False,False,7,1.0,630310
BTCUSDT,ret_4h,4h,-0.04594,-0.00289,0.00638,True,-3.6,1.0,False,False,7,1.0,630274
BTCUSDT,ret_4h,8h,-0.02054,-0.00016,0.00862,True,1.6,0.5,False,False,7,0.86,630226
BTCUSDT,ret_4h,12h,-0.00899,0.00018,0.01498,False,8.73,0.75,False,False,7,0.86,630178
BTCUSDT,ret_4h,24h,-0.01552,-0.00039,0.00744,True,-0.36,0.75,False,False,7,0.71,630034
BTCUSDT,doi_15m,1h,-0.00374,-0.00027,0.00284,True,0.18,0.75,False,False,7,0.86,629604
BTCUSDT,doi_15m,4h,-0.00313,0.00027,0.00373,False,-0.2,0.75,False,False,7,0.71,629568
BTCUSDT,doi_15m,8h,-0.00255,0.00138,0.00558,False,-0.6,0.5,False,False,7,0.57,629520
BTCUSDT,doi_15m,12h,-0.00144,8e-05,0.00317,False,0.58,0.5,False,False,7,0.57,629472
BTCUSDT,doi_15m,24h,0.00222,-0.00092,0.00253,False,0.16,0.5,False,False,7,0.43,629328
BTCUSDT,doi_1h,1h,-0.0085,-0.00011,0.00459,True,0.18,0.75,False,False,7,0.71,629560
BTCUSDT,doi_1h,4h,-0.00524,-0.00067,0.00577,False,0.78,0.75,False,False,7,0.71,629524
BTCUSDT,doi_1h,8h,-0.00683,0.00371,0.00614,True,0.13,0.5,False,False,7,0.57,629476
BTCUSDT,doi_1h,12h,-0.00419,-0.00221,0.00767,False,1.92,0.5,False,False,7,0.43,629428
BTCUSDT,doi_1h,24h,0.00112,-0.00177,0.00542,False,1.44,0.5,False,False,7,0.43,629284
BTCUSDT,doi_4h,1h,-0.00388,0.00213,0.00511,False,0.62,0.5,False,False,7,0.71,629497
BTCUSDT,doi_4h,4h,-0.00525,0.00399,0.01327,False,0.26,0.75,False,False,7,0.43,629461
